mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_class_weight,param_l1_ratio,param_loss,param_max_iter,param_n_iter_no_change,param_penalty,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.915395450592041,0.24225333045373448,0.005800104141235352,0.00040047215217394843,0.0001,balanced,0.3,log,2500,50,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.3, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 50, 'penalty': 'elasticnet', 'random_state': 27}",0.5657589354788798,0.5661443204402996,0.580423492653268,0.5563450272004463,0.5164705882352941,0.5570284728016376,0.021688963594302186,576
3.0915989875793457,0.207503363950031,0.0065997600555419925,0.0012002707131535083,0.0001,balanced,0.3,log,2500,100,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.3, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 100, 'penalty': 'elasticnet', 'random_state': 27}",0.5727371189849915,0.5805457881057943,0.5723167539267016,0.550346980053006,0.5213917723952326,0.5594676826931452,0.021533347443069076,486
4.1865983486175535,0.5482079383712729,0.005400180816650391,0.0004894928410358591,0.0001,balanced,0.3,log,2500,150,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.3, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 150, 'penalty': 'elasticnet', 'random_state': 27}",0.5716695033266285,0.5793380217092188,0.583590187468333,0.5487777235318734,0.5224067666282198,0.5611564405328546,0.022799724766977142,388
1.052999496459961,0.20137057134527772,0.005800199508666992,0.00039992379363280265,0.0001,balanced,0.35,log,2500,20,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.35, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 20, 'penalty': 'elasticnet', 'random_state': 27}",0.5751972768064366,0.5586378229628497,0.5929002702246242,0.5423263356116613,0.5090272971933871,0.5556178005597918,0.02873950943951339,614
1.7221997737884522,0.21836092438696147,0.005999994277954101,6.975526255763909e-07,0.0001,balanced,0.35,log,2500,50,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.35, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 50, 'penalty': 'elasticnet', 'random_state': 27}",0.5794367940584867,0.5820134536003669,0.5805712717446377,0.5566240061375366,0.5159323337178008,0.5629155718517658,0.02528403478040594,324
2.942414474487305,0.30058013738708506,0.0058005332946777345,0.0007483411992543003,0.0001,balanced,0.35,log,2500,100,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.35, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 100, 'penalty': 'elasticnet', 'random_state': 27}",0.5723348290267678,0.5797049380828619,0.5733934301638236,0.5510269912121635,0.5210688196847366,0.5595058016340706,0.021516259390720976,483
4.138890600204467,0.5059680620424795,0.0058002471923828125,0.0004001875842672027,0.0001,balanced,0.35,log,2500,150,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.35, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 150, 'penalty': 'elasticnet', 'random_state': 27}",0.571917066377843,0.5802858890077969,0.5837379665597027,0.5484464360440786,0.5223760092272203,0.5613526734433283,0.023051792619284445,379
1.0702225685119628,0.18921460483367866,0.005995368957519532,1.0307406249275547e-05,0.0001,balanced,0.4,log,2500,20,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.4, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 20, 'penalty': 'elasticnet', 'random_state': 27}",0.573526226210738,0.5589741629720226,0.556799949332883,0.5426924954665924,0.5089196462898885,0.5481824960544249,0.0219305116775225,696
1.8070906162261964,0.27308565746666374,0.006001138687133789,8.203816668551089e-07,0.0001,balanced,0.4,log,2500,50,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.4, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 50, 'penalty': 'elasticnet', 'random_state': 27}",0.5659755531486925,0.5820440299648372,0.5804657152508023,0.5559614311619472,0.5171780084582852,0.5603249475969129,0.02362201107613446,428
2.9143996715545653,0.32316144148027454,0.0062010765075683595,0.00040016276593073065,0.0001,balanced,0.4,log,2500,100,elasticnet,27,"{'alpha': 0.0001, 'class_weight': 'balanced', 'l1_ratio': 0.4, 'loss': 'log', 'max_iter': 2500, 'n_iter_no_change': 100, 'penalty': 'elasticnet', 'random_state': 27}",0.5720408479034504,0.5795979208072161,0.5820068400608005,0.5509398102943227,0.5210841983852365,0.5611339234902052,0.022818673353531712,389
