method,k,silhouette_avg
complete,60,0.017059112254088734
complete,61,0.017576636686883158
complete,62,0.01807598681859701
complete,63,0.01873629755079559
complete,64,0.01935458611992728
complete,65,0.018667113275377355
complete,66,0.019110786584681624
complete,67,0.019388326250278275
complete,68,0.019334575341301927
complete,69,0.019884135896502633
complete,70,0.020671889046019062
complete,71,0.0201586601071212
complete,72,0.020742049053106382
complete,73,0.020957070843648305
complete,74,0.021697637596653142
complete,75,0.022220551483481826
complete,76,0.022385191010308697
complete,77,0.0229076282517897
complete,78,0.022685566959943216
complete,79,0.02255192083701117
complete,80,0.023147996848954813
complete,81,0.023548584097737437
complete,82,0.023870584432879767
complete,83,0.024470640760164107
complete,84,0.02456888980283304
complete,85,0.02529657813499286
complete,86,0.025172397783303452
complete,87,0.02582343840959235
complete,88,0.024855327085898677
complete,89,0.025078807997639414
complete,90,0.025534120851561252
complete,91,0.025872788537243466
complete,92,0.026367018661702102
complete,93,0.026454110664412944
complete,94,0.026488548394350442
complete,95,0.02715944405863571
complete,96,0.027601435758080623
complete,97,0.02793013539286391
complete,98,0.02833018282862293
complete,99,0.02781116497654965
weighted,2,0.2061722987662765
weighted,3,0.1851752825398695
weighted,4,0.07380605065996468
weighted,5,0.07627322258371105
weighted,6,0.050899926277418656
weighted,7,0.049720401540151074
weighted,8,0.05049128517645756
weighted,9,0.04875627172392539
weighted,10,0.0464676830417521
weighted,11,0.0429269614920226
weighted,12,0.04191922020289601
weighted,13,0.03265470702595791
weighted,14,0.03177864319529911
weighted,15,0.03468575711178729
weighted,16,0.03508474481739361
weighted,17,0.033446636810820725
weighted,18,0.02899729823872718
weighted,19,0.025464134201191327
weighted,20,0.03056603140336875
weighted,21,0.028991399406329478
weighted,22,0.03027921927767987
weighted,23,0.034276743438008676
weighted,24,0.034287883156781364
weighted,25,0.03516577319529321
weighted,26,0.03260416080880023
weighted,27,0.03196948676962089
weighted,28,0.03104168033114672
weighted,29,0.03106213515154556
weighted,30,0.03195695305524653
weighted,31,0.03108110405710508
weighted,32,0.03151659117665678
weighted,33,0.03132800130508103
weighted,34,0.030844811160565377
weighted,35,0.029266068673874473
weighted,36,0.029475763317348847
weighted,37,0.02910343946555168
weighted,38,0.02989590976186422
weighted,39,0.028185852645662653
weighted,40,0.027884265498509617
weighted,41,0.027004716116762688
weighted,42,0.0283892046388225
weighted,43,0.027735423718751012
weighted,44,0.027921672544457
weighted,45,0.027670797316262163
weighted,46,0.028056844018669244
weighted,47,0.02708583966113247
weighted,48,0.030015408345708445
weighted,49,0.02966777134801317
weighted,50,0.030325964240406386
weighted,51,0.03090008060009946
weighted,52,0.03400515313417487
weighted,53,0.03418254519812086
weighted,54,0.03279489260308099
