method,k,WCSS,BCSS,CH_index
complete,96,33605.05753788734,12993.154787349407,9.649791229089779
complete,97,33538.51606364171,13059.696261595036,9.613163887344605
complete,98,33471.54841891918,13126.663906317579,9.577935070473012
complete,99,33430.66644960382,13167.54587563293,9.517336571889594
weighted,2,46561.95720419036,36.25512104646329,1.919353883420717
weighted,3,46521.912545434374,76.29977980233683,2.020581776913731
weighted,4,44794.826309796685,1803.3860154401086,33.05247593632313
weighted,5,44399.26438799792,2198.9479372386777,30.483668457720515
weighted,6,43887.94770805601,2710.264617180596,30.395411821260065
weighted,7,43817.51871142149,2780.6936138150995,26.018916980961226
weighted,8,42567.35852637484,4030.853798861832,33.264487272263274
weighted,9,42545.29079465837,4052.9215305783014,29.26904757286387
weighted,10,42523.08159371657,4075.1307315201066,26.16251334591375
weighted,11,42486.33080928811,4111.8815159485675,23.769482586060235
weighted,12,42418.84366891232,4179.368656324359,21.98926266946235
weighted,13,42258.998518516506,4339.213806720186,20.998349572469447
weighted,14,42191.05890708763,4407.153418149162,19.71024123039747
weighted,15,41735.88353140207,4862.328793834737,20.404555630874636
weighted,16,41652.70525624712,4945.507068989689,19.40080122291015
weighted,17,41615.458511706485,4982.753813530325,18.334152860101312
weighted,18,41590.57346887622,5007.638856360597,17.345145838090527
weighted,19,41518.29603226732,5079.916292969496,16.640100434442687
weighted,20,40883.977632907416,5714.2346923293535,18.00053030898841
weighted,21,40850.37261441707,5747.8397108197005,17.208185669894178
weighted,22,40400.36060599212,6197.851719244645,17.861400511626666
weighted,23,39865.099151430746,6733.113173806034,18.76297010196307
weighted,24,39818.477724549426,6779.73460068736,18.085214809125013
weighted,25,39706.65228775637,6891.5600374804,17.65991826084649
weighted,26,39489.439811024706,7108.772514212069,17.576864893735124
weighted,27,39459.62183356764,7138.590491669135,16.977589505330105
weighted,28,39405.912596874,7192.29972836278,16.487485404588185
weighted,29,39365.86782781282,7232.344497423961,15.996867389431637
weighted,30,39160.824454974245,7437.387870262541,15.959751906432713
weighted,31,39080.18069801035,7518.031627226441,15.620812320396128
weighted,32,39010.72506798644,7587.487257250344,15.277462419262427
weighted,33,38814.758583828436,7783.453741408349,15.252676348025314
weighted,34,38756.34311405965,7841.869211177141,14.91780657226974
weighted,35,38689.78536944994,7908.426955786854,14.62104590991738
weighted,36,38633.72349901478,7964.4888262220165,14.31885379107007
weighted,37,38547.320206183445,8050.892119053351,14.097872825642694
weighted,38,38484.387127990274,8113.825197246512,13.840980702098168
weighted,39,38463.886417894835,8134.325907341949,13.512431052617975
weighted,40,38411.118851801795,8187.093473434986,13.26410528633092
weighted,41,38381.879625668225,8216.33269956856,12.983224977225369
weighted,42,38173.13795955046,8425.074365686314,13.054004777274866
weighted,43,38140.93112936608,8457.281195870695,12.797431233364065
weighted,44,38104.72309949357,8493.489225743204,12.56007662017961
weighted,45,38030.21418521805,8567.998140018726,12.401438231848227
weighted,46,37990.65762439779,8607.554700838988,12.189482148046341
weighted,47,37935.52970675696,8662.682618479816,12.013340447064007
weighted,48,37629.791066744816,8968.421258491968,12.266543488993355
weighted,49,37601.01475222603,8997.197573010752,12.05376585517774
weighted,50,37546.884637678035,9051.327687558738,11.891015634724479
weighted,51,37478.12055019172,9120.091775045059,11.758402718727659
weighted,52,37187.02848977313,9411.183835463651,11.983943129099957
weighted,53,37142.70871332258,9455.5036119142,11.81802799871938
weighted,54,37111.78874950197,9486.423575734814,11.637831830130683
weighted,55,37075.46204216974,9522.750283067042,11.472534372191166
weighted,56,36882.962884830136,9715.24944040664,11.546827423205947
weighted,57,36846.09576280417,9752.116562432606,11.390333042707462
weighted,58,36774.914752031415,9823.297573205367,11.289314446620992
weighted,59,36715.44627026481,9882.766054971977,11.175274318586318
weighted,60,36588.46662849911,10009.745696737673,11.160994999650345
weighted,61,36498.604726807425,10099.607598429347,11.096157448439595
weighted,62,36442.02445577734,10156.187869459434,10.987869083826116
weighted,63,36165.94911753962,10432.263207697157,11.184625390262276
weighted,64,36120.27423425967,10477.938090977106,11.064658401091805
weighted,65,36073.4277599998,10524.78456523697,10.950118833787593
weighted,66,36040.957667334245,10557.25465790253,10.8201549118692
weighted,67,36011.48244635638,10586.729878880396,10.69025681375697
weighted,68,35975.73839077255,10622.473934464226,10.572346854351368
weighted,69,35953.89742987134,10644.31489536544,10.440276602456613
weighted,70,35851.42175530484,10746.79056993194,10.413371104562016
weighted,71,35816.02034533665,10782.19197990013,10.304300276304543
weighted,72,35754.40637918,10843.80594605678,10.230558290457354
weighted,73,35658.11789975206,10940.094425484715,10.20127143754539
weighted,74,35616.70630553237,10981.50601970441,10.10713315636805
weighted,75,35559.790348748116,11038.421976488664,10.034072993608921
weighted,76,35526.09168486968,11072.120640367102,9.93577366027107
weighted,77,35459.746460330876,11138.465864905898,9.878114613449664
weighted,78,35280.395603363686,11317.8167218731,9.953014461382358
