method,k,WCSS,BCSS,CH_index
weighted,69,34880.07792030064,7178.799179966515,7.257960898150816
weighted,70,34558.678713189845,7500.198387077319,7.53936145006557
weighted,71,34504.8491028326,7554.027997434563,7.493543475962951
weighted,72,34476.059592538884,7582.817507728278,7.419252478405352
weighted,73,34446.15668544999,7612.720414817164,7.34836562766927
weighted,74,34424.47838998128,7634.398710285864,7.269881092643092
weighted,75,34389.908253641064,7668.968846626089,7.208342470795487
weighted,76,34345.508287440694,7713.368812826454,7.159661044900818
weighted,77,34324.54983574668,7734.32726452047,7.0860139503728
weighted,78,34256.28634633933,7802.590753927815,7.066819083048061
weighted,79,34229.79191213958,7829.085188127559,7.0023929691529885
weighted,80,34178.50962543962,7880.367474827528,6.966564725425955
weighted,81,34156.028712185245,7902.848388081905,6.90075696916297
weighted,82,34110.11086325616,7948.766237011002,6.861514077330794
weighted,83,34002.956678256494,8055.920422010661,6.887964245177894
weighted,84,33848.578155318595,8210.298944948563,6.964091843867949
weighted,85,33735.380513421114,8323.496586846053,6.996529405981749
weighted,86,33609.10954026069,8449.76756000648,7.042522219363246
weighted,87,33582.250919349324,8476.626180917832,6.98540731677705
weighted,88,33541.39967783643,8517.47742243073,6.94392463710095
weighted,89,33489.187790435986,8569.689309831168,6.914959493216162
weighted,90,33447.521590186036,8611.355510081112,6.876172312542494
weighted,91,33407.1993808718,8651.677719395342,6.836978137198058
weighted,92,33372.61670769554,8686.260392571607,6.793049909471199
weighted,93,33269.65656789466,8789.220532372488,6.817025696513736
weighted,94,33244.20455367924,8814.672546587903,6.765579898675828
weighted,95,33196.13853368992,8862.738566577225,6.737010146522064
weighted,96,33176.92903819913,8881.948062068013,6.681592637340279
weighted,97,33152.380512589734,8906.496587677411,6.632378462982055
weighted,98,33106.83197511229,8952.045125154853,6.603861622674645
weighted,99,33068.592757311526,8990.284342955621,6.569212888815308
