method,k,silhouette_avg
complete,95,0.011578804815065978
complete,96,0.011935320058393989
complete,97,0.012561535730073571
complete,98,0.013171659399294093
complete,99,0.013265730253758214
weighted,2,0.1886420963528558
weighted,3,0.1537645945019339
weighted,4,0.13127642807176884
weighted,5,0.09862194738064964
weighted,6,0.06496155732428813
weighted,7,0.04817151606651485
weighted,8,0.04681447215870288
weighted,9,0.03747514693038979
weighted,10,0.00396157010806407
weighted,11,-0.002563572824057861
weighted,12,0.0049945957280193585
weighted,13,0.005317036943552276
weighted,14,0.0059506281415383526
weighted,15,0.005549520042199182
weighted,16,0.0018718378070420832
weighted,17,0.00030730885183281555
weighted,18,-0.0031841419646590867
weighted,19,-0.0033583715305763886
weighted,20,0.0038616631009615707
weighted,21,0.006112228233340541
weighted,22,0.005697894617892249
weighted,23,0.004701404462417519
weighted,24,0.004909207717509679
weighted,25,0.005774617854003016
weighted,26,0.00785951669553205
weighted,27,0.006908535110740478
weighted,28,-0.00454375942620259
weighted,29,-0.0043404090139839814
weighted,30,-0.002743037719378826
weighted,31,-0.004448044054388977
weighted,32,-0.0051665845784151215
weighted,33,-0.004873847695757446
weighted,34,-0.006061241455676019
weighted,35,-0.0058857741093030404
weighted,36,-0.006573633958910779
weighted,37,-0.0031389091356501865
weighted,38,-0.0031904342238052484
weighted,39,-0.0029436578936991365
weighted,40,-0.004841756009781505
weighted,41,-0.0052571655608666225
weighted,42,-0.006469344622227892
weighted,43,-0.010721821889119153
weighted,44,-0.010602635948474695
weighted,45,-0.01019438014648595
weighted,46,-0.010115570161439219
weighted,47,-0.011770139017268522
weighted,48,-0.008839239409649001
weighted,49,-0.00969855712880438
weighted,50,-0.008478008951345619
weighted,51,-0.008908024316050214
weighted,52,-0.008214419410639181
weighted,53,-0.007586672277899635
weighted,54,-0.007561773234744173
weighted,55,-0.007114054764496493
weighted,56,-0.00718766685079147
weighted,57,-0.007503726697235029
weighted,58,-0.008226348996089821
weighted,59,-0.009431784690162261
weighted,60,-0.009804746718744905
weighted,61,-0.0100698284077145
weighted,62,-0.010428026779677335
weighted,63,-0.01050652560520706
weighted,64,-0.00918718932845528
weighted,65,-0.009100847427736045
weighted,66,-0.008916029413320887
weighted,67,-0.005492264546535768
weighted,68,-0.0060932011454542905
weighted,69,-0.0046236324407067046
weighted,70,0.001608633539041275
weighted,71,0.0022747144760605813
weighted,72,0.0023220574662667012
weighted,73,0.0019662590361619737
weighted,74,0.0016087872012753865
weighted,75,0.0012525436933378449
weighted,76,0.0016562499424863425
weighted,77,0.0008752105769556897
weighted,78,0.001343083834365557
weighted,79,0.0014797363646039006
weighted,80,0.0004646991698584582
weighted,81,0.0002625027192733051
weighted,82,-0.00017379993771405333
weighted,83,-0.001797098385806825
weighted,84,0.0011442235986518536
weighted,85,0.002370211878981363
weighted,86,0.004811182722076378
weighted,87,0.004568387601560863
weighted,88,0.00483224998171445
weighted,89,0.005164333161058386
weighted,90,0.004827438922376517
weighted,91,0.005315896163001246
weighted,92,0.004715847146995987
weighted,93,0.006281222323800585
weighted,94,0.006212646436553321
weighted,95,0.006759614933856206
weighted,96,0.0066608450581315355
weighted,97,0.006756922311991655
weighted,98,0.0072383503684793175
weighted,99,0.007632633451258212
